Date,Price,Open,High,Low,Vol.,Change %
12/04/2020,893.28,890.6,894.7,889.94,15.66K,-0.21%
12/03/2020,895.13,887.39,895.13,887.39,58.55K,0.83%
12/02/2020,887.79,887.27,888.61,883.7,49.10K,0.28%
12/01/2020,885.29,887.65,890.33,885.29,21.27K,-0.33%
11/30/2020,888.22,884.98,893.75,884.98,36.42K,0.31%
11/27/2020,885.46,883.21,889.08,881,33.47K,0.40%
11/26/2020,881.97,874.83,883.28,874.83,34.12K,0.57%
11/25/2020,876.97,868,877.15,868,22.10K,1.19%
11/24/2020,866.62,866.7,869.07,865.04,19.60K,-0.01%
11/23/2020,866.74,856.37,868.92,856.37,45.70K,1.62%
11/20/2020,852.95,850.4,855.94,849.9,33.64K,0.30%
11/19/2020,850.4,845.31,852.95,845.31,29.87K,0.88%
11/18/2020,843.02,840.6,843.02,833.61,24.74K,0.36%
11/17/2020,839.96,836.44,839.96,835.42,33.99K,0.29%
11/16/2020,837.56,833.66,838.9,831.71,19.18K,0.37%
11/13/2020,834.46,846.77,846.77,834.23,3.65K,-1.45%
11/12/2020,846.77,851.57,854.7,844.18,10.63K,-0.56%
11/11/2020,851.57,838.69,852.34,838.69,38.99K,1.37%
11/10/2020,840.08,839.5,841.76,829.9,30.74K,0.07%
11/09/2020,839.5,822.26,839.5,818.79,34.67K,2.25%
11/06/2020,821.02,825.37,826.72,821.02,26.19K,-0.73%
11/05/2020,827.08,822.67,828,822.1,14.77K,0.82%
11/04/2020,820.39,810.73,824.03,810.73,7.66K,1.19%
11/03/2020,810.73,805.3,811.65,803.58,11.81K,0.89%
11/02/2020,803.58,796.98,804.9,796.98,21.38K,1.26%
10/30/2020,793.55,790.73,795.17,787.44,40.39K,0.38%
10/29/2020,790.56,800.31,801.58,790.56,39.89K,-1.41%
10/28/2020,801.9,806.26,808.92,800.58,35.54K,-0.45%
10/27/2020,805.56,808.82,812.03,802.4,25.25K,-0.40%
10/26/2020,808.82,824.3,826.91,803.11,15.36K,-1.80%
10/23/2020,823.67,831.6,831.6,823.34,11.55K,-0.95%
10/22/2020,831.6,829.65,831.99,823.97,13.11K,0.31%
10/21/2020,829.01,828.48,831.16,828.42,27.80K,0.20%
10/20/2020,827.34,828.58,833.15,825.05,13.93K,-0.63%
10/19/2020,832.58,839.52,840.56,831.1,21.64K,-0.83%
10/16/2020,839.52,834.06,839.52,831.91,16.33K,0.76%
10/15/2020,833.16,833.7,834.58,828.45,25.61K,-0.27%
10/14/2020,835.41,833.94,839.16,829.74,25.61K,0.52%
10/13/2020,831.09,834.62,837.54,830.58,12.14K,-0.42%
10/12/2020,834.62,838.11,839.31,834.05,8.54K,-0.32%
10/09/2020,837.32,834.84,838.61,833.25,19.77K,0.09%
10/08/2020,836.55,837.57,839.45,833.51,14.14K,-0.12%
10/07/2020,837.57,843.77,843.77,836.42,18.61K,-0.73%
10/06/2020,843.77,848.63,848.63,843.08,31.29K,-0.42%
10/05/2020,847.36,845.58,848.08,844.88,9.33K,0.24%
10/02/2020,845.36,855.38,855.38,845.36,13.44K,-1.07%
10/01/2020,854.53,846.2,854.74,846.2,10.48K,0.98%
09/30/2020,846.2,847.6,851.31,846.09,12.48K,0.12%
09/29/2020,845.17,855.85,860.12,844.96,28.33K,-1.25%
09/28/2020,855.85,845.24,862.96,845.24,11.84K,1.26%
09/25/2020,845.24,846.57,852.41,845.24,14.51K,-0.18%
09/24/2020,846.8,837.32,849.99,836.62,33.58K,1.44%
09/23/2020,834.77,833.59,834.95,831.29,9.25K,0.20%
09/22/2020,833.14,831.33,834.2,830.46,7.98K,0.25%
09/21/2020,831.1,840.73,846.64,830.65,11.69K,-0.82%
09/18/2020,837.93,837.83,844.58,837.23,8.83K,-0.23%
09/17/2020,839.82,848.08,848.93,839.82,28.77K,-0.95%
09/16/2020,847.84,847.22,848.19,844.81,21.67K,0.07%
09/15/2020,847.22,844.24,847.22,843.64,14.86K,0.35%
09/14/2020,844.24,847.58,847.58,844.07,5.49K,-0.37%
09/11/2020,847.34,841.47,847.34,838.44,6.05K,0.70%
09/10/2020,841.47,848.19,849.38,840.9,48.80K,-0.93%
09/09/2020,849.4,844.91,849.57,844.91,10.60K,0.58%
09/08/2020,844.46,852.03,852.03,844.02,21.49K,-0.82%
09/07/2020,851.41,838.04,853.15,838.04,8.28K,1.59%
09/04/2020,838.08,854.59,854.59,838.08,94.70K,-1.86%
09/03/2020,853.99,853.15,860.07,852.76,20.14K,0.12%
09/02/2020,852.98,850.01,855.04,844.8,13.63K,0.40%
09/01/2020,849.6,852.78,853.02,845.38,14.63K,0.08%
08/31/2020,848.89,841.29,851.2,835.22,39.76K,0.88%
08/28/2020,841.49,854.8,856.17,841.49,27.45K,-1.41%
08/27/2020,853.53,854.93,856.36,850,28.74K,-0.11%
08/26/2020,854.48,850.46,855.65,849.25,14.96K,0.33%
08/25/2020,851.71,854.35,856.17,851.1,30.59K,-0.36%
08/24/2020,854.8,855.71,856.32,851.84,20.98K,-0.16%
08/21/2020,856.13,863.01,866.17,856.13,26.16K,-0.68%
08/20/2020,861.98,863.06,863.89,858.55,23.12K,0.03%
08/19/2020,861.69,860.97,863.19,858.25,26.87K,0.08%
08/18/2020,860.97,861.27,863.28,858.2,21.59K,-0.18%
08/17/2020,862.52,858.01,869.09,858.01,39.13K,0.21%
08/14/2020,860.69,858.01,861.52,857.37,14.11K,0.26%
08/13/2020,858.49,862.39,863.52,856.78,21.89K,-0.31%
08/12/2020,861.12,860.41,866.89,858.85,12.50K,-0.05%
08/11/2020,861.58,846.64,861.58,846.64,34.82K,1.76%
08/10/2020,846.64,840.29,846.64,839.51,16.22K,0.78%
08/07/2020,840.05,840.15,841.46,836.23,13.19K,0.09%
08/06/2020,839.32,840.72,842.85,838.53,13.20K,-0.38%
08/05/2020,842.54,850.22,850.22,838.9,21.69K,-0.90%
08/04/2020,850.22,845.97,850.22,844.59,12.24K,0.72%
08/03/2020,844.15,846.18,849.02,842.12,11.80K,-0.02%
07/31/2020,844.3,844.21,847.08,841.73,21.18K,0.01%
07/30/2020,844.21,850.71,853.83,844.21,13.30K,-0.71%
07/29/2020,850.23,850.53,854.32,848.8,17.25K,-0.25%
07/28/2020,852.35,849.47,856.22,849.29,26.32K,0.27%
07/27/2020,850.08,852.85,856.41,848.96,6.58K,-0.26%
07/24/2020,852.29,852.64,855.79,848.88,6.39K,-0.09%
07/23/2020,853.03,855.41,855.41,847.4,11.46K,-0.28%
07/22/2020,855.41,858.32,858.32,847.5,19.30K,-0.39%
07/21/2020,858.76,868.57,868.57,854.05,31.38K,-1.13%
07/20/2020,868.57,871.29,871.31,868.22,17.33K,-0.33%
07/17/2020,871.46,870.43,873.4,869.93,20.58K,0.12%
07/16/2020,870.43,870.67,872.87,866.4,9.41K,-0.03%
07/15/2020,870.67,869.04,870.67,865.6,23.91K,0.33%
07/14/2020,867.83,865.85,867.83,863.73,12.63K,0.59%
07/13/2020,862.73,861.44,864.51,858.95,9.38K,0.19%
07/10/2020,861.1,861.93,863.2,857.43,26.95K,0.19%
07/09/2020,859.44,853.73,860.04,853.12,18.85K,0.67%
07/08/2020,853.73,852.93,855.66,850.77,30.02K,0.17%
07/07/2020,852.27,853.6,855.18,849.98,19.23K,-0.16%
07/06/2020,853.6,849.26,854.37,848.12,13.56K,0.58%
07/03/2020,848.66,850.46,851.92,844,17.02K,-0.23%
07/02/2020,850.64,848.98,854.26,848.76,14.04K,0.05%
07/01/2020,850.19,849.82,851.27,847.39,3.98K,0.04%
06/30/2020,849.82,850.91,852.35,848.1,7.98K,0.23%
06/29/2020,847.88,857.16,857.77,846.76,11.55K,-1.11%
06/26/2020,857.37,857.52,859.14,855.55,22.59K,-0.12%
06/24/2020,858.41,859.67,859.67,857.21,23.40K,-0.15%
06/23/2020,859.67,856.32,861.64,853.35,18.67K,0.10%
06/22/2020,858.82,850.54,858.82,847.99,8.61K,0.97%
06/19/2020,850.54,854.1,855.55,850.32,11.69K,-0.62%
06/18/2020,855.84,857.18,857.84,852.37,24.99K,-0.47%
06/17/2020,859.88,860.46,863.94,858.03,39.92K,-0.26%
06/16/2020,862.1,857.3,862.78,838.8,37.10K,0.31%
06/15/2020,859.47,863.59,866.35,857.63,27.64K,-0.62%
06/12/2020,864.84,870.21,870.21,862.16,47.58K,-0.64%
06/11/2020,870.4,871.76,871.76,865.36,27.03K,-0.28%
06/10/2020,872.83,867.91,877.34,867.91,31.72K,0.88%
06/09/2020,865.24,874.45,875.12,864.24,48.58K,-1.04%
06/08/2020,874.29,873.1,877.25,871.15,43.71K,0.09%
06/05/2020,873.49,873.19,883.39,870,61.42K,0.03%
06/04/2020,873.24,860.91,873.24,860.69,29.36K,1.47%
06/03/2020,860.56,844.24,861.53,844.24,45.60K,1.93%
06/02/2020,844.24,836.64,844.24,835.92,27.64K,1.05%
06/01/2020,835.49,833.96,837.83,831.12,24.22K,0.21%
05/29/2020,833.77,828.7,833.87,826.53,23.53K,0.47%
05/28/2020,829.85,827.09,829.85,825.09,27.09K,0.33%
05/27/2020,827.09,821.4,827.09,819.03,32.77K,0.77%
05/26/2020,820.73,813.48,822.52,812.55,33.38K,0.98%
05/25/2020,812.76,813.35,818.33,811.96,25.95K,0.11%
05/22/2020,811.9,825.45,825.45,810.21,36.38K,-1.76%
05/21/2020,826.48,813.35,826.79,813.35,20.05K,2.07%
05/20/2020,809.74,816.79,818.64,809.74,16.80K,-0.75%
05/19/2020,815.84,818.62,824.64,815.43,23.20K,-0.44%
05/18/2020,819.44,816.43,825.29,816.43,24.23K,0.49%
05/15/2020,815.47,811.24,816.77,809.76,45.60K,0.92%
05/14/2020,808.02,804.36,808.52,801.13,40.98K,-0.07%
05/13/2020,808.55,807.38,808.55,799.83,38.00K,0.14%
